id,tag_type,tag_id,tag_position,timestamp,timestamp_h
241,CCFFFF20051000,3400E200470496F0642605D5010C,BAEF,1726924398484,2024-09-21T13:13:18.483Z
242,CCFFFF20051000,3400E2004704923064260589010C,B702,1726924398751,2024-09-21T13:13:18.750Z
243,CCFFFF20051000,3400E200470496F0642605D5010C,BBEE,1726924398962,2024-09-21T13:13:18.961Z
244,CCFFFF20051000,3400E200470496F0642605D5010C,C1E8,1726924399553,2024-09-21T13:13:19.552Z
245,CCFFFF20051000,3400E200470496F0642605D5010C,B6F3,1726924400512,2024-09-21T13:13:20.511Z
246,CCFFFF20051000,3400E2004704923064260589010C,B504,1726924401132,2024-09-21T13:13:21.131Z
247,CCFFFF20051000,3400E2004704923064260589010C,B603,1726924403533,2024-09-21T13:13:23.532Z
248,CCFFFF20051000,"",3400,1726924404216,2024-09-21T13:13:24.215Z
249,E2004704923064,260589010C,B504,1726924404233,2024-09-21T13:13:24.232Z
250,CC,CC,CC,1726924406660,2024-09-21T13:13:26.660Z
251,FFFF2005100034,00E2004704923064260589010C,B702,1726924406677,2024-09-21T13:13:26.676Z
252,CCFFFF20051000,3400E200470492306426058901,0CB9,1726924407380,2024-09-21T13:13:27.379Z
253,00,00,00,1726924407396,2024-09-21T13:13:27.395Z
254,CCFFFF20051000,3400E2004704923064260589010C,BCFD,1726924408819,2024-09-21T13:13:28.818Z
255,CCFFFF20051000,3400E2004704923064260589010C,B603,1726924408933,2024-09-21T13:13:28.932Z
256,CCFFFF20051000,3400E2004704923064260589010C,B702,1726924409345,2024-09-21T13:13:29.344Z
257,CCFFFF20051000,3400E2004704923064260589,010C,1726924410383,2024-09-21T13:13:30.383Z
258,B900,B900,B900,1726924410400,2024-09-21T13:13:30.399Z
259,CCFFFF20051000,3400E2004704923064260589010C,B900,1726924410863,2024-09-21T13:13:30.863Z
260,CCFFFF20051000,3400E2004704923064260589010C,BBFE,1726924411375,2024-09-21T13:13:31.374Z
261,CCFFFF20051000,3400E2004704923064260589010C,B801,1726924411918,2024-09-21T13:13:31.917Z
262,CCFFFF20051000,3400E2004704923064260589,010C,1726924412380,2024-09-21T13:13:32.379Z
263,BBFE,BBFE,BBFE,1726924412397,2024-09-21T13:13:32.396Z
264,CCFFFF20051000,3400E20047049EB064260651010A,B7AF,1726924413918,2024-09-21T13:13:33.917Z
265,CCFFFF20051000,3400E2004704923064260589010C,B801,1726924414026,2024-09-21T13:13:34.025Z
266,CCFFFF20051000,3400E20047049EB064260651010A,B9AD,1726924414445,2024-09-21T13:13:34.444Z
267,CCFFFF20051000,3400E20047049EB064260651010A,B8AE,1726924414892,2024-09-21T13:13:34.891Z
268,CCFFFF20051000,3400E20047049EB064260651010A,BAAC,1726924415451,2024-09-21T13:13:35.451Z
269,CCFFFF200510,0510,0510,1726924416075,2024-09-21T13:13:36.074Z
270,003400E2004704,9EB064260651010A,B5B1,1726924416092,2024-09-21T13:13:36.091Z
271,CCFFFF20051000,3400E20047049EB064260651010A,B7AF,1726924416618,2024-09-21T13:13:36.617Z
272,CCFFFF20051000,3400E20047049EB064260651010A,B6B0,1726924417399,2024-09-21T13:13:37.398Z
273,CCFFFF20051000,3400E2004704923064260589010C,B702,1726924417430,2024-09-21T13:13:37.429Z
274,CCFFFF20051000,3400E20047049EB064260651010A,B8AE,1726924417832,2024-09-21T13:13:37.832Z
275,CCFFFF20051000,3400E2004704923064260589010C,BBFE,1726924417956,2024-09-21T13:13:37.955Z
276,CCFFFF200510,0510,0510,1726924418408,2024-09-21T13:13:38.408Z
